Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Autre
SNCF Réseau;2,6 GHz TDD;2575;2595;2022-1004;https://www.arcep.fr/uploads/tx_gsavis/22-1004.pdf;47,2919444444444;-1,48444444444444;44026;Carquefou;Loire-Atlantique;Pays de la Loire;2022-05-12;2025-12-31;La SNCF explore avec son partenaire Stellantis les possibilités offertes par la Mobilité Autonome dans le cadre d'une des expérimentations du projet collaboratif SAM (Sécurité et Acceptabilité de la Mobilité autonome), financé par l'ADEME ( (Agence de l'Environnement et de la Maîtrise de l'Energie). Une plateforme d'innovation ouverte a ainsi été conçue à Carquefou sur une ancienne voie ferrée reconvertie pour y tester les briques technologiques et servicielles de futurs systèmes de transport public autonome.;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Airbus Operations SAS;3,8 GHz;3900;4000;2022-2388;https://www.arcep.fr/uploads/tx_gsavis/22-2388.pdf;47,312245;-2,169842;44184;Saint-Nazaire;Loire-Atlantique;Pays de la Loire;2023-01-01;2025-12-31;Expérimentation de Airbus dans le cadre de sa transformation digitale, visant à développer son offre de connectivité sans fil dans le but d’assurer une continuité de service pour ses moyens de production en milieu industriel dit complexe (Hangar avec environment métallique dense).;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0
GTS FRANCE SAS;3,8 GHz;3900;4000;2023-0917;https://www.arcep.fr/uploads/tx_gsavis/23-0917.pdf;48,785;2,20827;78640;Vélizy-Villacoublay;Yvelines;Île-de-France;2023-03-30;2026-03-29;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0
IHU Strasbourg;3,8 GHz;3900;4000;2022-2048;https://www.arcep.fr/uploads/tx_gsavis/22-2048.pdf;48,5759425;7,7430558;67482;Strasbourg;Bas-Rhin;Grand Est;2023-02-01;2026-01-31;Expérimentation, dans le cadre du projet 5G-OR (Operating Room), visant à créer la nouvelle génération de blocs opératoires, pour des interventions mini-invasives personnalisées et sécurisées, avec l’objectif d’améliorer le bénéfice pour les patients.;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0
Capgemini;3,8 GHz;3900;4000;2022-1955;https://www.arcep.fr/uploads/tx_gsavis/22-1955.pdf;48,8287222;2,26152777;92040;Issy-les-Moulineaux;Hauts-de-Seine;Île-de-France;2022-10-17;2025-10-16;Capgemini, acteur des secteurs des technologies numériques et de l’industrie intelligente, enrichit son Lab 5G d’Issy-les-Moulineaux par de nouvelles capacités d’expérimentation dédiées aux cas d’usages de l’industrie du futur, complétant ainsi son réseau privé SA (Stand alone) par un nouveau spectre de fréquences n77.;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0
B-COM;3,8 GHz;3900;4000;2023-0718;https://www.arcep.fr/uploads/tx_gsavis/23-0718.pdf;48,1357639;-1,6231722;22113;Lannion;Côtes-d'Armor;Bretagne;2023-02-01;2026-01-31;Plateforme d'expérimentation 5G, dédiée à des expérimentations techniques pour les solutions développées par B-Com et à destination des verticaux.;0;0;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0
SOLVAY;2,6 GHz TDD;2575;2595;2022-2234;https://www.arcep.fr/uploads/tx_gsavis/22-2234.pdf;47,033952;5,233182;39526;Tavaux;Jura;Bourgogne-Franche-Comté;2023-01-01;2025-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0
SNCF;2,6 GHz TDD;2600;2620;2022-2235;https://www.arcep.fr/uploads/tx_gsavis/22-2235.pdf;48,061714;-1,380992;35238;Rennes;Ille-et-Vilaine;Bretagne;2022-11-21;2025-09-30;Expérimentation dans le cadre de nouveaux cas d'usage;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;0
Sysoco/Axians;3,8 GHz;3900;4000;2022-2391;https://www.arcep.fr/uploads/tx_gsavis/22-2391.pdf;48,1127194;-1,60555277;35037;Bréal-sous-Montfort;Ille-et-Vilaine;Bretagne;2022-12-01;2025-11-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1
ILS TECHNOLOGIES;3,8 GHz;3900;4000;2022-2535;https://www.arcep.fr/uploads/tx_gsavis/22-2535.pdf;48,785814;2,044985;78423;Montigny-le-Bretonneux;Yvelines;Île-de-France;2023-01-01;2025-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
ISIS Logiciels et Systèmes;2,6 GHz TDD;2575;2615;2022-2679;https://www.arcep.fr/uploads/tx_gsavis/22-2679.pdf;48,470902;2,0243;78423;Montigny-le-Bretonneux;Yvelines;Île-de-France;2023-01-01;2025-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
Airbus Operations SAS;3,8 GHz;3900;4000;2023-0126;https://www.arcep.fr/uploads/tx_gsavis/23-0126.pdf;43,618619;1,362169;31149;Colomiers;Haute-Garonne;Occitanie;2023-03-02;2026-03-01;Expérimentation dans le cadre de la transformation digitale de la société Airbus afin d'offrir une connectivité sans fil dans le but d'assurer une continuité de service pour des moyens de production en milieu industriel.;1;0;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0
Acome;3,8 GHz;3900;4000;2022-2532;https://www.arcep.fr/uploads/tx_gsavis/22-2532.pdf;48,635018;-0,955043;50436;Romagny Fontenay;Manche;Normandie;2023-01-01;2025-12-31;Expérimentation qui s'inscrit dans le projet Lab PCN 5G pour mettre en œuvre un réseau mobile privé . Evolutif, robuste et sécurisé, ce réseau tend vers une souveraineté technologique française. Il sera innovant et vise à minimiser l’impact carbone. La plateforme se veut un laboratoire d’usages 5G pour l’industrie.;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0
Acome;2,6 GHz TDD;2575;2615;2022-2680;https://www.arcep.fr/uploads/tx_gsavis/22-2680.pdf;48,381431;-0,572283;50436;Romagny Fontenay;Manche;Normandie;2023-01-01;2025-12-31;Expérimentation qui s'inscrit dans le projet Lab PCN 5G pour mettre en œuvre un réseau mobile privé. Evolutif, robuste et sécurisé, ce réseau tend vers une souveraineté technologique française. Il sera innovant et vise à minimiser l’impact carbone. La plateforme se veut un laboratoire d’usages 5G pour l’industrie.;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1
Hectar;3,8 GHz;3900;4000;2023-0740;https://www.arcep.fr/uploads/tx_gsavis/23-0740.pdf;48,7284974;1,9286383;78334;Lévis-Saint-Nom;Yvelines;Île-de-France;2023-02-01;2026-01-31;Expérimentation pour promouvoir une agriculture connectée dans le cadre de programmes d'éducation et d'entrepreneuriat. Le déploiement de ce réseau privé 5G vise à démontrer comment l'amélioration de la connectivité, de la bande passante, de la latence et le contrôle sur les informations du réseau sera bénéfique pour le développement d’une agriculture plus durable, résiliente et productive.;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1
Hectar;2,6 GHz TDD;2575;2615;2023-0716;https://www.arcep.fr/uploads/tx_gsavis/23-0716.pdf;48,7283333333333;1,92861111111111;78334;Lévis-Saint-Nom;Yvelines;Île-de-France;2023-05-01;2026-04-30;Expérimentation pour promouvoir une agriculture connectée dans le cadre de programmes d'éducation et d'entrepreneuriat. Le déploiement de ce réseau privé 5G vise à démontrer comment l'amélioration de la connectivité, de la bande passante, de la latence et le contrôle sur les informations du réseau sera bénéfique pour le développement d’une agriculture plus durable, résiliente et productive.;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1
Orange;3,8 GHz;3800;3880;2023-0918;https://www.arcep.fr/uploads/tx_gsavis/23-0918.pdf;43,6236111111111;1,48777777777778;31044;Balma;Haute-Garonne;Occitanie;2023-05-24;2026-05-23;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0
Orange;3,8 GHz;3800;3900;2023-0919;https://www.arcep.fr/uploads/tx_gsavis/23-0919.pdf;45,7796714;4,75074;69044;Charbonnières-les-Bains;Rhône;Auvergne-Rhône-Alpes;2023-04-20;2026-04-19;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0
Safran;3,8 GHz;3900;4000;2023-0125;https://www.arcep.fr/uploads/tx_gsavis/23-0125.pdf;48,3413889;-1,18;35115;Fougères;Ille-et-Vilaine;Bretagne;2023-03-30;2026-03-29;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;1
Université Paul-Sabatier;3,8 GHz;3800;3880;2023-0741;https://www.arcep.fr/uploads/tx_gsavis/23-0741.pdf;43,5634781;1,46551944;31062;Bellesserre;Haute-Garonne;Occitanie;2023-04-04;2026-04-03;"Plateforme d'expérimentation autOCampus pour expérimenter les véhicules et connectés ""in vivo"". Les usagers sont les chercheurs des laboratoires, les formateurs et des industriels.";0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0
Numerisat;3,8 GHz;3900;4000;2023-0719;https://www.arcep.fr/uploads/tx_gsavis/23-0719.pdf;45,64523;5,871415;73051;Le Bourget-du-Lac;Savoie;Auvergne-Rhône-Alpes;2023-03-30;2026-03-29;Expérimentation pour tester et développer des cas d’usage 5G privés pour la sécurité en montagne.;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
EDF;3,8 GHz;3900;4000;2023-1220;https://www.arcep.fr/uploads/tx_gsavis/23-1220.pdf;48,8972222222222;2,17;78146;Chatou;Yvelines;Île-de-France;2023-05-01;2026-04-30;En portant de nouveaux cas d’usage et en s’appuyant sur différentes fonctions techniques issues de l’écosystème 5G, la plateforme d’expérimentation d’EDF Lab Chatou vise à définir les modalités de migration des réseaux industriels cellulaires privés d’EDF vers la technologie 5G.;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0
Athonet;3,8 GHz;3900;4000;2023-0127;https://www.arcep.fr/uploads/tx_gsavis/23-0127.pdf;48,8427139;2,31978527;75056;Paris;Paris;Île-de-France;2023-03-02;2026-03-01;Démonstrateur pour les solutions de connectivité 5G SA (Stand alone) développées par Athonet.;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0
Athonet;2,6 GHz TDD;2575;2585;2023-0122;https://www.arcep.fr/uploads/tx_gsavis/23-0122.pdf;48,503878;2,191201;75056;Paris;Paris;Île-de-France;2023-01-17;2025-12-31;Démonstrateur pour les solutions de connectivité 5G SA (Stand alone) développées par Athonet.;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;1;1
Vedecom;2,6 GHz TDD;2575;2595;2023-0123;https://www.arcep.fr/uploads/tx_gsavis/23-0123.pdf;48,471003;2,053509;78646;Versailles;Yvelines;Île-de-France;2023-01-17;2025-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1
B-COM;3,8 GHz;3900;4000;2023-0742;https://www.arcep.fr/uploads/tx_gsavis/23-0742.pdf;48,1210356;-1,6954197;35238;Rennes;Ille-et-Vilaine;Bretagne;2023-04-04;2025-12-31;L’objectif du projet « Engage 5G and beyond » est de construire et d’opérer un réseau de plateformes ouvertes, nationales et souveraines, offrant des services portés par la 5G pour l’expérimentation de cas d’usages orientés santé, énergie et industrie 4.0. Une offre de service permettra à des utilisateurs verticaux tiers (PMEs, start-up, laboratoires) de lancer leurs propres expérimentations appuyées sur la technologie 5G sur ces plateformes.Cette expérimentation se focalise sur le cas d’utilisation orienté santé.;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0
Unitel Technologies;3,8 GHz;3900;4000;2023-0743;https://www.arcep.fr/uploads/tx_gsavis/23-0743.pdf;43,4973889;5,34205555;13001;Aix-en-Provence;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2023-04-04;2026-04-03;Expérimentation dans le cadre de nouveaux cas d'usage;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;0
Qualcomm;3,8 GHz;3900;4000;2023-1441;https://www.arcep.fr/uploads/tx_gsavis/23-1441.pdf;48,7605555555556;-3,46722222222222;22113;Lannion;Côtes-d'Armor;Bretagne;2023-07-01;2026-06-27;Expérimentation portant sur la connectivité 5G et fiabilité améliorée avec plusieurs cellules pour les cas d’utilisation verticaux de l’IoT industriel, optimisations RAN (Radio access network), y compris le contrôleur intelligent RAN et la planification intelligente.;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0
Conservatoire National des Arts et Métiers;3,8 GHz;3900;4000;2023-1193;https://www.arcep.fr/uploads/tx_gsavis/23-1193.pdf;48,8666666666667;2,35666666666667;75056;Paris;Paris;Île-de-France;2023-05-25;2026-05-24;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
Nokia Networks France;3,8 GHz;3900;4000;2023-1525;https://www.arcep.fr/uploads/tx_gsavis/23-1525.pdf;48,7583333333333;-3,45611111111111;22113;Lannion;Côtes-d'Armor;Bretagne;2023-09-01;2026-08-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
ArcelorMittal France;3,8 GHz;3900;4000;2023-1442;https://www.arcep.fr/uploads/tx_gsavis/23-1442.pdf;49,322500000000005;6,093611111111111;57221;Florange;Moselle;Grand Est;2023-07-01;2026-06-30;Plateforme partagée et dédiée à l'expérimentation multi-sites et multi-applications reposant sur des technologies 4G/5G dans le monde industriel sidérurgique.;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0
SNCF;3,8 GHz;3900;4000;2023-1400;https://www.arcep.fr/uploads/tx_gsavis/23-1400.pdf;48,8219444444444;2,36861111111111;75056;Paris;Paris;Île-de-France;2023-06-27;2026-06-26;Expérimentation dans le cadre de nouveaux cas d'usage;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1
Alsatis;3,8 GHz;3900;4000;2023-1573;https://www.arcep.fr/uploads/tx_gsavis/23-1573.pdf;43,5927777777778;1,435;31555;Toulouse;Haute-Garonne;Occitanie;2023-08-01;2026-07-31;Expérimentation dans le cadre du projet Hi5. Le projet Hi5 consiste en la mise en place d'une infrastruture de connectivité mobile s'appuyant sur la technologie 5G, mutualisée, multi-services, dédiée pour la métropole de Toulouse, et destinée à porter des cas d'usage autour de 5 axes : événementiel - culture - transport (nouvelles mobilités) - connectivité des sites (infrastructures publiques) - éducation.;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0
Alsatis;3,8 GHz;3800;3900;2023-1874;https://www.arcep.fr/uploads/tx_gsavis/23-1874.pdf;43,6094444444444;1,39944444444444;31555;Toulouse;Haute-Garonne;Occitanie;2023-10-01;2026-09-30;"Expérimentation dans le cadre du projet 5G Vertical ISS. Ce projet vise le développement et la validation en environnement client d'un cœur de réseau 5G ""hybride"" et vise à expérimenter en environnement hospitalier de nouveaux cas d'usage liés au maintien des services de téléphonie en situation de crise et à l'aide à la protection/localisation du personnel technique (Protection Travailleur Isolé). L'expérimentation doit aussi permettre de valider la pertinence d'une solution de mobilité entre le réseau privé déployé et le réseau MVNO porté par une infrastructure opérateur de réseau ouvert au public.";0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1
Hub One;3,8 GHz;3900;4000;2023-2294;https://www.arcep.fr/uploads/tx_gsavis/23-2294.pdf;49,0094444444444;2,55916666666667;93073;Tremblay-en-France;Seine-Saint-Denis;Île-de-France;2023-10-17;2026-10-16;Expérimentation sur les fonctionnalités différenciantes de la technologie 5G (latence, gestion de la QoS, souplesse des trames de synchro) afin de répondre aux besoins grandissant d'entreprises industrielles pouvant être regroupées au sein d'un campus.;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0
Alsatis;2,6 GHz TDD;2595;2615;2023-1744;https://www.arcep.fr/uploads/tx_gsavis/23-1744.pdf;43,6386111111111;1,555;31555;Toulouse;Haute-Garonne;Occitanie;2023-08-01;2026-07-31;Expérimentation dans le cadre du projet Hi5. Le projet Hi5 consiste en la mise en place d'une infrastruture de connectivité mobile s'appuyant sur la technologie 5G, mutualisée, multi-services, dédiée pour la métropole de Toulouse, et destinée à porter des cas d'usage autour de 5 axes : événementiel - culture - transport (nouvelles mobilités) - connectivité des sites (infrastructures publiques) - éducation.;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1
Stanley Robotics;3,8 GHz;3900;4000;2023-1875;https://www.arcep.fr/uploads/tx_gsavis/23-1875.pdf;45,7230555555556;5,06944444444444;69299;Colombier-Saugnieu;Rhône;Auvergne-Rhône-Alpes;2023-10-02;2026-10-01;Expérimentation d'une solution de réseau 5G privé pour connecter des robots autonomes offrant un service de voiturier (sans laisser ses clés). En charge du stockage des véhicules, les robots optimisent l'usage de l'infrastructure.;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
B-COM;3,8 GHz;3900;4000;2023-1807;https://www.arcep.fr/uploads/tx_gsavis/23-1807.pdf;47,9858333333333;-1,74333333333333;35047;Bruz;Ille-et-Vilaine;Bretagne;2023-09-01;2025-12-31;Plateforme d'expérimentation 5G SA (Stand Alone) dans le cadre des travaux de la DGA-MI (Direction générale de l'armement - Maîtrise de l'information) liés aux systèmes de communication 5G souverains.;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Alsatis;3,8 GHz;3900;4000;2023-1957;https://www.arcep.fr/uploads/tx_gsavis/23-1957.pdf;46,0747222222222;6,57027777777778;74081;Cluses;Haute-Savoie;Auvergne-Rhône-Alpes;2023-09-07;2026-09-06;Expérimentation pour soutenir, avancer, aider et sécuriser le déploiement de la 5G industrielle dans les ateliers de production manufacturiers. Cette expérimentation est l'un des principaux objectifs du Fablab 5G industrielle de Cluses, lauréat de l’AMI Campus Fablab 5G industrielle lancé par l’Etat.;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0
Alsatis;3,8 GHz;3900;4000;2023-2108;https://www.arcep.fr/uploads/tx_gsavis/23-2108.pdf;47,4563888888889;-0,537777777777778;49007;Angers;Maine-et-Loire;Pays de la Loire;2023-09-28;2025-12-31;Expérimentation menée dans le cadre du projet 5Green Mobilité qui a pour objectif d’activer différentes stratégies de régulation de la circulation en zone urbaine grâce à l’analyse de la qualité de l’air et du trafic, mais aussi de sensibiliser les populations urbaines aux comportements pro-environnementaux. L’ensemble des données sont collectées grâce à l’infrastructure 5G privée déployée.;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
EDF;3,8 GHz;3880;3980;2023-1958;https://www.arcep.fr/uploads/tx_gsavis/23-1958.pdf;48,8972222222222;2,17;78146;Chatou;Yvelines;Île-de-France;2023-09-15;2026-09-14;Plateforme d’expérimentation d’EDF Lab Chatou qui vise à définir les modalités de migration des réseaux industriels cellulaires privés d’EDF vers la technologie 5G.;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1
EDF;2,6 GHz TDD;2575;2615;2024-1870;https://www.arcep.fr/uploads/tx_gsavis/24-1870.pdf;48,89722222222222;2,17;78146;Chatou;Yvelines;Île-de-France;2024-09-16;2027-09-15;En portant de nouveaux cas d’usage et en s’appuyant sur différentes fonctions techniques issues de l’écosystème 5G, la plateforme d’expérimentation d’EDF Lab Chatou vise à définir les modalités de migration vers la 5G des réseaux industriels cellulaires privés d’EDF,;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;1
Fives Xcella;3,8 GHz;3900;4000;2023-2295;https://www.arcep.fr/uploads/tx_gsavis/23-2295.pdf;47,7236111111111;-3,38833333333333;56107;Larmor-Plage;Morbihan;Bretagne;2023-10-17;2026-10-16;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0
Airmob Infra Full;3,8 GHz;3800;3900;2023-2546;https://www.arcep.fr/uploads/tx_gsavis/23-2546.pdf;49,4769444444444;1,09138888888889;76451;Mont-Saint-Aignan;Seine-Maritime;Normandie;2023-11-14;2026-11-13;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0
Airmob Infra Full;3,8 GHz;3800;3900;2023-2547;https://www.arcep.fr/uploads/tx_gsavis/23-2547.pdf;49,2597222222222;1,18694444444444;27701;Val-de-Reuil;Eure;Normandie;2023-11-14;2026-11-13;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0
